node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
20	Chapter II	Chapter II Neoplasms	0	0	20	Chapter II	N	N
440	Block C00-C14	C00-C14 Malignant neoplasms of lip, oral cavity and pharynx	20	1	440	Block C00-C14	N	N
450	Block C15-C26	C15-C26 Malignant neoplasms of digestive organs	20	1	450	Block C15-C26	N	N
460	Block C30-C39	C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	20	1	460	Block C30-C39	N	N
470	Block C40-C41	C40-C41 Malignant neoplasms of bone and articular cartilage	20	1	470	Block C40-C41	N	N
480	Block C43-C44	C43-C44 Melanoma and other malignant neoplasms of skin	20	1	480	Block C43-C44	N	N
490	Block C45-C49	C45-C49 Malignant neoplasms of mesothelial and soft tissue	20	1	490	Block C45-C49	N	N
500	Block C50-C50	C50-C50 Malignant neoplasm of breast	20	1	500	Block C50-C50	N	N
510	Block C51-C58	C51-C58 Malignant neoplasms of female genital organs	20	1	510	Block C51-C58	N	N
520	Block C60-C63	C60-C63 Malignant neoplasms of male genital organs	20	1	520	Block C60-C63	N	N
530	Block C64-C68	C64-C68 Malignant neoplasms of urinary tract	20	1	530	Block C64-C68	N	N
540	Block C69-C72	C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system	20	1	540	Block C69-C72	N	N
550	Block C73-C75	C73-C75 Malignant neoplasms of thyroid and other endocrine glands	20	1	550	Block C73-C75	N	N
560	Block C76-C80	C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites	20	1	560	Block C76-C80	N	N
570	Block C81-C96	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	20	1	570	Block C81-C96	N	N
580	Block C97-C97	C97-C97 Malignant neoplasms of independent (primary) multiple sites	20	1	580	Block C97-C97	N	N
12070	C00	C00 Malignant neoplasm of lip	440	2	440	Block C00-C14	Y	Y
12170	C01	C01 Malignant neoplasm of base of tongue	440	2	440	Block C00-C14	Y	Y
12180	C02	C02 Malignant neoplasm of other and unspecified parts of tongue	440	2	440	Block C00-C14	Y	Y
12260	C03	C03 Malignant neoplasm of gum	440	2	440	Block C00-C14	Y	Y
12300	C04	C04 Malignant neoplasm of floor of mouth	440	2	440	Block C00-C14	Y	Y
12350	C05	C05 Malignant neoplasm of palate	440	2	440	Block C00-C14	Y	Y
12410	C06	C06 Malignant neoplasm of other and unspecified parts of mouth	440	2	440	Block C00-C14	Y	Y
12470	C07	C07 Malignant neoplasm of parotid gland	440	2	440	Block C00-C14	Y	Y
12480	C08	C08 Malignant neoplasm of other and unspecified major salivary glands	440	2	440	Block C00-C14	Y	Y
12530	C09	C09 Malignant neoplasm of tonsil	440	2	440	Block C00-C14	Y	Y
12580	C10	C10 Malignant neoplasm of oropharynx	440	2	440	Block C00-C14	Y	Y
12660	C11	C11 Malignant neoplasm of nasopharynx	440	2	440	Block C00-C14	Y	Y
12730	C12	C12 Malignant neoplasm of pyriform sinus	440	2	440	Block C00-C14	Y	Y
12740	C13	C13 Malignant neoplasm of hypopharynx	440	2	440	Block C00-C14	Y	Y
12800	C14	C14 Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	440	2	440	Block C00-C14	Y	Y
12840	C15	C15 Malignant neoplasm of oesophagus	450	2	450	Block C15-C26	Y	Y
12930	C16	C16 Malignant neoplasm of stomach	450	2	450	Block C15-C26	Y	Y
13030	C17	C17 Malignant neoplasm of small intestine	450	2	450	Block C15-C26	Y	Y
13100	C18	C18 Malignant neoplasm of colon	450	2	450	Block C15-C26	Y	Y
13210	C19	C19 Malignant neoplasm of rectosigmoid junction	450	2	450	Block C15-C26	Y	Y
13220	C20	C20 Malignant neoplasm of rectum	450	2	450	Block C15-C26	Y	Y
13230	C21	C21 Malignant neoplasm of anus and anal canal	450	2	450	Block C15-C26	Y	Y
13280	C22	C22 Malignant neoplasm of liver and intrahepatic bile ducts	450	2	450	Block C15-C26	Y	Y
13360	C23	C23 Malignant neoplasm of gallbladder	450	2	450	Block C15-C26	Y	Y
13370	C24	C24 Malignant neoplasm of other and unspecified parts of biliary tract	450	2	450	Block C15-C26	Y	Y
13420	C25	C25 Malignant neoplasm of pancreas	450	2	450	Block C15-C26	Y	Y
13510	C26	C26 Malignant neoplasm of other and ill-defined digestive organs	450	2	450	Block C15-C26	Y	Y
13560	C30	C30 Malignant neoplasm of nasal cavity and middle ear	460	2	460	Block C30-C39	Y	Y
13590	C31	C31 Malignant neoplasm of accessory sinuses	460	2	460	Block C30-C39	Y	Y
13660	C32	C32 Malignant neoplasm of larynx	460	2	460	Block C30-C39	Y	Y
13730	C33	C33 Malignant neoplasm of trachea	460	2	460	Block C30-C39	Y	Y
13740	C34	C34 Malignant neoplasm of bronchus and lung	460	2	460	Block C30-C39	Y	Y
13810	C37	C37 Malignant neoplasm of thymus	460	2	460	Block C30-C39	Y	Y
13820	C38	C38 Malignant neoplasm of heart, mediastinum and pleura	460	2	460	Block C30-C39	Y	Y
13890	C39	C39 Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs	460	2	460	Block C30-C39	Y	Y
13930	C40	C40 Malignant neoplasm of bone and articular cartilage of limbs	470	2	470	Block C40-C41	Y	Y
14000	C41	C41 Malignant neoplasm of bone and articular cartilage of other and unspecified sites	470	2	470	Block C40-C41	Y	Y
14080	C42	C42 hematopoietic and reticuloendothelial systems (ICD-O-3 specific)	470	2	470	Block C40-C41	Y	Y
14140	C43	C43 Malignant melanoma of skin	480	2	480	Block C43-C44	Y	Y
14250	C44	C44 Other malignant neoplasms of skin	480	2	480	Block C43-C44	Y	Y
14360	C45	C45 Mesothelioma	490	2	490	Block C45-C49	Y	Y
14420	C46	C46 Kaposi's sarcoma	490	2	490	Block C45-C49	Y	Y
14500	C47	C47 Malignant neoplasm of peripheral nerves and autonomic nervous system	490	2	490	Block C45-C49	Y	Y
14600	C48	C48 Malignant neoplasm of retroperitoneum and peritoneum	490	2	490	Block C45-C49	Y	Y
14650	C49	C49 Malignant neoplasm of other connective and soft tissue	490	2	490	Block C45-C49	Y	Y
14750	C50	C50 Malignant neoplasm of breast	500	2	500	Block C50-C50	Y	Y
14850	C51	C51 Malignant neoplasm of vulva	510	2	510	Block C51-C58	Y	Y
14910	C52	C52 Malignant neoplasm of vagina	510	2	510	Block C51-C58	Y	Y
14920	C53	C53 Malignant neoplasm of cervix uteri	510	2	510	Block C51-C58	Y	Y
14970	C54	C54 Malignant neoplasm of corpus uteri	510	2	510	Block C51-C58	Y	Y
15040	C55	C55 Malignant neoplasm of uterus, part unspecified	510	2	510	Block C51-C58	Y	Y
15050	C56	C56 Malignant neoplasm of ovary	510	2	510	Block C51-C58	Y	Y
15060	C57	C57 Malignant neoplasm of other and unspecified female genital organs	510	2	510	Block C51-C58	Y	Y
15150	C58	C58 Malignant neoplasm of placenta	510	2	510	Block C51-C58	Y	Y
15160	C60	C60 Malignant neoplasm of penis	520	2	520	Block C60-C63	Y	Y
15220	C61	C61 Malignant neoplasm of prostate	520	2	520	Block C60-C63	Y	Y
15230	C62	C62 Malignant neoplasm of testis	520	2	520	Block C60-C63	Y	Y
15270	C63	C63 Malignant neoplasm of other and unspecified male genital organs	520	2	520	Block C60-C63	Y	Y
15340	C64	C64 Malignant neoplasm of kidney, except renal pelvis	530	2	530	Block C64-C68	Y	Y
15350	C65	C65 Malignant neoplasm of renal pelvis	530	2	530	Block C64-C68	Y	Y
15360	C66	C66 Malignant neoplasm of ureter	530	2	530	Block C64-C68	Y	Y
15370	C67	C67 Malignant neoplasm of bladder	530	2	530	Block C64-C68	Y	Y
15480	C68	C68 Malignant neoplasm of other and unspecified urinary organs	530	2	530	Block C64-C68	Y	Y
15530	C69	C69 Malignant neoplasm of eye and adnexa	540	2	540	Block C69-C72	Y	Y
15630	C70	C70 Malignant neoplasm of meninges	540	2	540	Block C69-C72	Y	Y
15670	C71	C71 Malignant neoplasm of brain	540	2	540	Block C69-C72	Y	Y
15780	C72	C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	540	2	540	Block C69-C72	Y	Y
15870	C73	C73 Malignant neoplasm of thyroid gland	550	2	550	Block C73-C75	Y	Y
15880	C74	C74 Malignant neoplasm of adrenal gland	550	2	550	Block C73-C75	Y	Y
15920	C75	C75 Malignant neoplasm of other endocrine glands and related structures	550	2	550	Block C73-C75	Y	Y
16010	C76	C76 Malignant neoplasm of other and ill-defined sites	560	2	560	Block C76-C80	Y	Y
16100	C77	C77 Secondary and unspecified malignant neoplasm of lymph nodes	560	2	560	Block C76-C80	Y	Y
16190	C78	C78 Secondary malignant neoplasm of respiratory and digestive organs	560	2	560	Block C76-C80	Y	Y
16290	C79	C79 Secondary malignant neoplasm of other sites	560	2	560	Block C76-C80	Y	Y
16400	C80	C80 Malignant neoplasm without specification of site	560	2	560	Block C76-C80	Y	Y
16430	C81	C81 Hodgkin's disease	570	2	570	Block C81-C96	Y	Y
16510	C82	C82 Follicular [nodular] non-Hodgkin's lymphoma	570	2	570	Block C81-C96	Y	Y
16610	C83	C83 Diffuse non-Hodgkin's lymphoma	570	2	570	Block C81-C96	Y	Y
16720	C84	C84 Peripheral and cutaneous T-cell lymphomas	570	2	570	Block C81-C96	Y	Y
16830	C85	C85 Other and unspecified types of non-Hodgkin's lymphoma	570	2	570	Block C81-C96	Y	Y
16890	C86	C86 Other specified types of T/NK-cell lymphoma	570	2	570	Block C81-C96	Y	Y
16970	C88	C88 Malignant immunoproliferative diseases	570	2	570	Block C81-C96	Y	Y
17050	C90	C90 Multiple myeloma and malignant plasma cell neoplasms	570	2	570	Block C81-C96	Y	Y
17100	C91	C91 Lymphoid leukaemia	570	2	570	Block C81-C96	Y	Y
17210	C92	C92 Myeloid leukaemia	570	2	570	Block C81-C96	Y	Y
17320	C93	C93 Monocytic leukaemia	570	2	570	Block C81-C96	Y	Y
17390	C94	C94 Other leukaemias of specified cell type	570	2	570	Block C81-C96	Y	Y
17480	C95	C95 Leukaemia of unspecified cell type	570	2	570	Block C81-C96	Y	Y
17540	C96	C96 Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue	570	2	570	Block C81-C96	Y	Y
17650	C97	C97 Malignant neoplasms of independent (primary) multiple sites	580	2	580	Block C97-C97	Y	Y
