node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
60	Chapter VI	Chapter VI Diseases of the nervous system	0	0	60	Chapter VI	N	N
870	Block G00-G09	G00-G09 Inflammatory diseases of the central nervous system	60	1	870	Block G00-G09	N	N
880	Block G10-G14	G10-G14 Systemic atrophies primarily affecting the central nervous system	60	1	880	Block G10-G14	N	N
890	Block G20-G26	G20-G26 Extrapyramidal and movement disorders	60	1	890	Block G20-G26	N	N
900	Block G30-G32	G30-G32 Other degenerative diseases of the nervous system	60	1	900	Block G30-G32	N	N
910	Block G35-G37	G35-G37 Demyelinating diseases of the central nervous system	60	1	910	Block G35-G37	N	N
920	Block G40-G47	G40-G47 Episodic and paroxysmal disorders	60	1	920	Block G40-G47	N	N
930	Block G50-G59	G50-G59 Nerve, nerve root and plexus disorders	60	1	930	Block G50-G59	N	N
940	Block G60-G64	G60-G64 Polyneuropathies and other disorders of the peripheral nervous system	60	1	940	Block G60-G64	N	N
950	Block G70-G73	G70-G73 Diseases of myoneural junction and muscle	60	1	950	Block G70-G73	N	N
960	Block G80-G83	G80-G83 Cerebral palsy and other paralytic syndromes	60	1	960	Block G80-G83	N	N
970	Block G90-G99	G90-G99 Other disorders of the nervous system	60	1	970	Block G90-G99	N	N
31760	G00	G00 Bacterial meningitis, not elsewhere classified	870	2	870	Block G00-G09	Y	Y
31830	G01	G01 Meningitis in bacterial diseases classified elsewhere	870	2	870	Block G00-G09	Y	Y
31840	G02	G02 Meningitis in other infectious and parasitic diseases classified elsewhere	870	2	870	Block G00-G09	Y	Y
31880	G03	G03 Meningitis due to other and unspecified causes	870	2	870	Block G00-G09	Y	Y
31940	G04	G04 Encephalitis, myelitis and encephalomyelitis	870	2	870	Block G00-G09	Y	Y
32000	G05	G05 Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere	870	2	870	Block G00-G09	Y	Y
32050	G06	G06 Intracranial and intraspinal abscess and granuloma	870	2	870	Block G00-G09	Y	Y
32090	G07	G07 Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere	870	2	870	Block G00-G09	Y	Y
32100	G08	G08 Intracranial and intraspinal phlebitis and thrombophlebitis	870	2	870	Block G00-G09	Y	Y
32110	G09	G09 Sequelae of inflammatory diseases of central nervous system	870	2	870	Block G00-G09	Y	Y
32120	G10	G10 Huntington's disease	880	2	880	Block G10-G14	Y	Y
32130	G11	G11 Hereditary ataxia	880	2	880	Block G10-G14	Y	Y
32210	G12	G12 Spinal muscular atrophy and related syndromes	880	2	880	Block G10-G14	Y	Y
32270	G13	G13 Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere	880	2	880	Block G10-G14	Y	Y
32320	G14	G14 Postpolio syndrome	880	2	880	Block G10-G14	Y	Y
32330	G20	G20 Parkinson's disease	890	2	890	Block G20-G26	Y	Y
32340	G21	G21 Secondary Parkinsonism	890	2	890	Block G20-G26	Y	Y
32420	G22	G22 Parkinsonism in diseases classified elsewhere	890	2	890	Block G20-G26	Y	Y
32430	G23	G23 Other degenerative diseases of basal ganglia	890	2	890	Block G20-G26	Y	Y
32500	G24	G24 Dystonia	890	2	890	Block G20-G26	Y	Y
